nmot_w,mshfm_w,rl_w,rlsol_w,pvdkds_w,plsol_w,lamsoni_w,lamsbg_w,tikatm_w
5652.5,154.139,143.133,180.375,1951.64,2280.23,0.797609,0.804689,774.783
5661.0,153.389,143.461,180.469,1951.6,2280.94,0.817872,0.804689,774.783
5690.25,156.389,142.898,180.211,1939.49,2281.41,0.798341,0.804689,778.221
5699.75,152.639,142.828,179.648,1936.48,2275.98,0.787843,0.804689,778.221
5691.0,155.056,143.227,179.531,1936.45,2274.22,0.802003,0.804689,778.221
5711.25,153.889,143.414,179.555,1933.4,2276.37,0.800294,0.804689,778.221
5715.5,154.389,142.102,179.344,1939.45,2272.7,0.800294,0.804689,781.678
5746.25,155.667,141.305,179.156,1939.45,2270.9,0.790529,0.804689,781.678
5752.25,153.889,141.68,179.016,1927.34,2275.59,0.798341,0.804689,781.678
5750.0,153.833,140.391,179.039,1948.59,2275.04,0.805421,0.804689,781.678
5769.75,153.889,142.406,178.57,1896.95,2270.2,0.793947,0.804689,785.154
5770.5,155.417,139.945,178.57,1951.6,2259.18,0.797609,0.804689,785.154
5784.75,153.889,140.672,178.5,1918.2,2258.52,0.78882,0.804689,785.154
5807.0,152.778,140.461,178.477,1903.05,2257.11,0.802003,0.812501,785.154
5816.0,155.889,140.18,178.172,1918.2,2256.13,0.818849,0.812501,788.592
5822.0,154.889,139.641,178.172,1903.05,2253.83,0.817872,0.812501,788.592
5829.75,156.139,140.156,178.031,1906.09,2251.91,0.802003,0.812501,788.592
5841.0,153.889,139.641,177.984,1909.1,2260.0,0.792238,0.812501,792.01
5850.0,154.639,139.852,177.656,1896.91,2252.34,0.805421,0.812501,792.01
5857.75,155.889,137.367,177.633,1936.45,2254.14,0.816896,0.812501,792.01
5875.25,155.667,138.867,177.539,1909.1,2253.05,0.826661,0.812501,792.01
5887.5,156.639,138.82,177.563,1893.95,2252.27,0.81006,0.812501,795.349
5890.0,154.389,136.195,177.258,1963.79,2254.49,0.783448,0.812501,795.349
5905.5,154.639,138.68,177.094,1906.05,2251.95,0.790529,0.812501,795.349
5921.0,154.639,137.953,177.094,1906.09,2251.09,0.820558,0.812501,795.349
5925.5,155.667,139.852,176.977,1878.75,2249.96,0.817872,0.812501,798.631
5950.0,156.389,138.867,176.32,1893.95,2239.49,0.797609,0.812501,798.631
5961.75,156.389,138.914,176.742,1869.61,2247.81,0.807374,0.812501,798.631
5984.0,156.889,136.43,174.961,1906.05,2231.13,0.796632,0.812501,801.814
5971.25,154.389,137.883,174.773,1875.7,2227.77,0.810792,0.812501,801.814
5981.5,156.639,136.172,174.68,1912.11,2228.4,0.822267,0.812501,801.814
6004.0,155.667,137.461,176.367,1893.95,2245.47,0.81006,0.812501,801.814
5996.75,156.639,136.688,174.656,1896.91,2233.36,0.792238,0.812501,804.881
6012.75,156.389,138.352,175.992,1860.51,2245.31,0.807374,0.812501,804.881
6035.25,157.167,136.453,174.633,1884.77,2235.7,0.801027,0.812501,804.881
6045.75,156.639,133.805,175.172,1918.2,2248.83,0.805421,0.820314,804.881
6054.75,156.389,135.844,174.422,1887.81,2235.74,0.816896,0.820314,807.81
6052.25,157.167,132.539,171.82,1872.62,2210.86,0.832033,0.820314,807.81
6063.0,156.389,134.695,174.68,1863.55,2248.24,0.825929,0.820314,807.81
6073.5,156.139,134.297,173.789,1887.81,2239.96,0.817872,0.820314,807.81
6074.5,156.639,134.672,173.953,1875.7,2238.67,0.796632,0.820314,810.623
6095.0,158.167,135.867,173.836,1851.41,2240.12,0.81006,0.820314,810.623
6094.25,156.639,134.016,173.414,1869.61,2238.32,0.817872,0.820314,810.623
6119.0,157.167,135.211,172.992,1851.41,2239.92,0.82837,0.820314,813.299
6124.0,155.417,134.813,172.969,1869.57,2240.23,0.832033,0.820314,813.299
6148.25,155.639,133.688,172.078,1878.71,2235.35,0.807374,0.820314,813.299
6135.75,157.167,135.445,172.078,1848.36,2223.28,0.815187,0.820314,813.299
6154.25,156.889,134.648,171.75,1842.27,2220.16,0.813478,0.820314,815.838
6160.0,157.472,133.664,171.117,1884.77,2213.44,0.81006,0.820314,815.838
6177.0,155.417,132.328,171.539,1887.81,2222.85,0.809083,0.820314,815.838
6198.25,157.778,133.898,171.539,1848.36,2224.65,0.827638,0.820314,815.838
6180.25,155.639,132.234,170.836,1887.81,2217.23,0.820558,0.820314,818.24
6196.5,157.417,133.289,170.719,1866.56,2222.15,0.80298,0.820314,818.24
6214.5,156.889,132.422,170.32,1890.86,2219.45,0.804689,0.820314,818.24
6211.0,157.806,133.336,170.297,1869.57,2218.28,0.821534,0.820314,818.24
6237.75,157.917,134.414,170.273,1824.06,2220.78,0.821534,0.820314,820.584
6237.0,157.167,132.891,169.336,1845.27,2211.95,0.793947,0.820314,820.584
6231.75,159.695,132.352,169.172,1845.31,2208.98,0.818849,0.820314,820.584
6265.5,157.417,130.125,168.82,1893.91,2217.15,0.834718,0.820314,822.869
6279.5,157.167,132.398,168.82,1872.62,2218.79,0.821534,0.820314,822.869
6265.5,157.917,132.727,168.516,1839.26,2218.95,0.803712,0.820314,822.869
6285.75,156.528,132.539,168.516,1836.17,2214.53,0.799318,0.820314,822.869
6321.0,155.667,131.156,167.672,1845.27,2202.97,0.807374,0.820314,825.115
6296.25,158.167,131.109,167.672,1821.02,2216.84,0.816163,0.820314,825.115
6318.25,156.639,130.477,166.852,1817.97,2205.74,0.833009,0.820314,825.115
6336.0,155.889,129.211,166.383,1848.32,2198.01,0.812501,0.820314,825.115
